Category,Item,Pack Size,Price,UPC,Sizes on this card,Possible Sinclair match,Match confidence,Sinclair search
Meat & Seafood,BONELESS PORK LOIN ~5lb,EA,13.95,,,Boneless Pork Roast,weak,https://shop.sinclairsfoods.com/shop#!/?q=BONELESS%20PORK%20LOIN
Meat & Seafood,CAB BONELESS STEW MEAT      3#,EA,20.97,,2,,,https://shop.sinclairsfoods.com/shop#!/?q=CAB%20BONELESS%20STEW%20MEAT%20%20%20%20%20%203%23
Meat & Seafood,CAB BONELESS STEW MEAT      5#,EA,34.95,,2,,,https://shop.sinclairsfoods.com/shop#!/?q=CAB%20BONELESS%20STEW%20MEAT%20%20%20%20%20%205%23
Meat & Seafood,CAB CHUCK ROAST ~5lb,EA,44.95,,2,,,https://shop.sinclairsfoods.com/shop#!/?q=CAB%20CHUCK%20ROAST
Meat & Seafood,CAB CHUCK ROAST ~8lb,EA,71.92,,2,,,https://shop.sinclairsfoods.com/shop#!/?q=CAB%20CHUCK%20ROAST
Meat & Seafood,CAB NEW YORK STRIPS     2 PK,EA,22.49,,3,,,https://shop.sinclairsfoods.com/shop#!/?q=CAB%20NEW%20YORK%20STRIPS
Meat & Seafood,CAB NEW YORK STRIPS     4 PK,EA,44.97,,3,,,https://shop.sinclairsfoods.com/shop#!/?q=CAB%20NEW%20YORK%20STRIPS
Meat & Seafood,CAB NEW YORK STRIPS     8 PK,EA,89.94,,3,,,https://shop.sinclairsfoods.com/shop#!/?q=CAB%20NEW%20YORK%20STRIPS
Meat & Seafood,CAB RIBEYE STEAK             2 PK,EA,32.99,,3,,,https://shop.sinclairsfoods.com/shop#!/?q=CAB%20RIBEYE%20STEAK
Meat & Seafood,CAB RIBEYE STEAK             4 PK,EA,65.97,,3,,,https://shop.sinclairsfoods.com/shop#!/?q=CAB%20RIBEYE%20STEAK
Meat & Seafood,CAB RIBEYE STEAK             8 PK,EA,131.94,,3,,,https://shop.sinclairsfoods.com/shop#!/?q=CAB%20RIBEYE%20STEAK
